City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nantucket,41.2835,-70.0995,-2.94,36,0,12.86,US,1739908916
1,Amasra,41.7463,32.3863,3.7,82,95,8.99,TR,1739908917
2,Grytviken,-54.2811,-36.5092,-0.6,60,63,3.28,GS,1739908757
3,Coquimbo,-29.9533,-71.3436,18.32,67,42,3.33,CL,1739908397
4,Adamstown,-25.066,-130.1015,25.66,78,80,7.99,PN,1739908852
5,Sitia,35.2,26.0986,13.67,80,100,2.42,GR,1739908921
6,Longyearbyen,78.2186,15.6401,-8.09,79,75,3.09,SJ,1739908923
7,West Island,-12.1568,96.8225,25.99,83,4,2.06,CC,1739908893
8,Bethel,41.3712,-73.414,-3.14,44,97,3.13,US,1739908925
9,Lüderitz,-26.6481,15.1594,16.63,88,2,3.86,NA,1739908926
10,Shimanovsk,52.0,127.7,-20.25,90,26,3.77,RU,1739908927
11,Saipan,15.1355,145.701,25.36,92,63,0.45,MP,1739908928
12,Saipan,15.1355,145.701,25.36,92,63,0.45,MP,1739908928
13,Utrik,11.2278,169.8474,26.15,74,15,6.26,MH,1739908931
14,Lashkar Gah,31.5938,64.3716,15.0,41,36,3.3,AF,1739908868
15,Arraial do Cabo,-22.9661,-42.0278,33.98,54,0,8.75,BR,1739908933
16,Port-aux-Français,-49.35,70.2167,6.6,78,36,12.68,TF,1739908934
17,Port-aux-Français,-49.35,70.2167,6.6,78,36,12.68,TF,1739908934
18,Laguna,38.421,-121.4238,15.62,63,0,3.6,US,1739908937
19,Bengkulu,-3.8004,102.2655,24.12,88,100,1.54,ID,1739908939
20,Pasni,25.2631,63.471,23.77,74,97,7.48,PK,1739908940
21,Lebu,-37.6167,-73.65,16.91,76,2,9.5,CL,1739908942
22,Sault Ste. Marie,46.5168,-84.3333,-8.84,67,100,7.2,CA,1739908861
23,Tsiombe,-25.3,45.4833,26.15,83,19,5.14,MG,1739908944
24,Labuan,5.2767,115.2417,24.2,100,20,0.0,MY,1739908945
25,Labuan,5.2767,115.2417,24.2,100,20,0.0,MY,1739908945
26,Skellefteå,64.7507,20.9528,-7.8,79,0,1.54,SE,1739908948
27,Eraan,9.0629,117.7016,25.25,87,100,1.97,PH,1739908949
28,Hermanus,-34.4187,19.2345,20.45,67,91,9.87,ZA,1739908856
29,Daokou,35.5639,114.5058,1.14,30,99,4.01,CN,1739908951
30,Lihue,21.9789,-159.3672,23.77,83,100,4.12,US,1739908952
31,Saint Paul Harbor,57.79,-152.4072,5.73,93,100,5.14,US,1739908953
32,Rio Grande,-32.035,-52.0986,20.78,60,10,6.2,BR,1739908954
33,Fort St. John,56.2499,-120.8529,-22.06,71,75,5.66,CA,1739908806
34,Ambrizette,-7.2312,12.8666,25.34,78,99,3.63,AO,1739908957
35,Tianpeng,30.9866,103.9393,6.81,89,100,2.41,CN,1739908958
36,Waitangi,-43.9535,-176.5597,17.12,98,100,3.58,NZ,1739908959
37,Port Mathurin,-19.6833,63.4167,26.82,68,46,7.99,MU,1739908960
38,Aqaba,29.5267,35.0078,18.92,24,10,4.12,JO,1739908961
39,Puerto Natales,-51.7236,-72.4875,20.25,45,75,5.14,CL,1739908891
40,Yellowknife,62.456,-114.3525,-21.36,64,75,7.72,CA,1739908963
41,Kīevka,50.2619,71.5514,-14.43,89,100,2.06,KZ,1739908965
42,Ilulissat,69.2167,-51.1,-2.99,50,20,1.54,GL,1739908966
43,Kongsberg,59.6652,9.6465,-9.89,93,12,1.33,NO,1739908967
44,Bilibino,68.0546,166.4372,-32.37,99,10,1.26,RU,1739908968
45,Kapaa,22.0752,-159.319,24.18,95,100,4.12,US,1739908740
46,Rhinelander,45.6366,-89.4121,-12.36,51,0,3.09,US,1739908971
47,Rhinelander,45.6366,-89.4121,-12.36,51,0,3.09,US,1739908971
48,Hamilton,39.1834,-84.5333,-5.6,55,100,3.09,US,1739908679
49,Kapuskasing,49.4169,-82.4331,-18.95,71,100,6.17,CA,1739908975
50,Yuzhno-Kurilsk,44.0306,145.8556,-3.97,83,34,8.17,RU,1739908976
51,Smirnykh,49.75,142.8333,-13.26,89,100,3.26,RU,1739908978
52,Qaqortoq,60.7167,-46.0333,2.75,61,100,4.08,GL,1739908979
53,Ushuaia,-54.8,-68.3,13.81,62,40,12.35,AR,1739908804
54,Al Ghayzah,16.2079,52.176,21.82,80,0,1.97,YE,1739908981
55,Anadyr,64.75,177.4833,-31.72,75,0,4.0,RU,1739908982
56,Thompson,55.7435,-97.8558,-17.91,50,20,5.14,CA,1739908983
57,Talnakh,69.4865,88.3972,-10.36,92,100,6.45,RU,1739908984
58,Albany,42.6001,-73.9662,-6.35,62,100,4.02,US,1739908783
59,Rawson,-43.3002,-65.1023,25.16,33,0,7.2,AR,1739908987
60,Vila Velha,-20.3297,-40.2925,28.97,65,0,7.2,BR,1739908988
61,Muang Phônsavan,19.45,103.2167,12.8,99,25,1.36,LA,1739908989
62,Invercargill,-46.4,168.35,15.01,92,100,5.36,NZ,1739908990
63,Trucuk,-7.7183,110.6589,23.82,91,100,0.61,ID,1739908991
64,Callaway,30.153,-85.5699,18.44,47,75,2.24,US,1739908992
65,Jiaojiang,28.6803,121.4428,3.46,83,67,1.67,CN,1739908994
66,Stanley,54.868,-1.6985,0.01,85,0,2.06,GB,1739908909
67,Tiksi,71.6872,128.8694,-30.12,100,58,0.64,RU,1739908996
68,Papatowai,-46.5619,169.4708,15.09,88,100,4.59,NZ,1739908997
69,Port Macquarie,-31.4333,152.9167,16.71,98,1,0.89,AU,1739908907
70,Puerto Varas,-41.3195,-72.9854,20.12,64,0,6.17,CL,1739909000
71,Wotho,10.1657,166.0102,26.73,82,5,6.95,MH,1739909001
72,Haiku-Pauwela,20.9219,-156.3051,26.25,67,0,8.49,US,1739909002
73,Port Alfred,-33.5906,26.891,21.77,90,97,1.34,ZA,1739908886
74,Sechura,-5.5569,-80.8222,29.34,57,83,7.08,PE,1739909005
75,Olonkinbyen,70.9221,-8.7187,-3.32,75,99,3.93,SJ,1739909006
76,Qandala,11.472,49.8728,24.24,71,3,0.72,SO,1739909007
77,Fortuna,40.5982,-124.1573,14.96,77,0,2.06,US,1739909008
78,Znamensk,48.5842,45.7338,-6.34,56,98,2.87,RU,1739909009
79,Salinas,36.6777,-121.6555,18.24,64,0,3.09,US,1739909011
80,Rémire-Montjoly,4.9167,-52.2667,28.02,78,100,7.72,GF,1739909012
81,St. John's,47.5649,-52.7093,-3.9,88,100,9.77,CA,1739908745
82,Saldanha,-33.0117,17.9442,19.4,78,0,9.03,ZA,1739909014
83,Port Elizabeth,-33.918,25.5701,20.17,99,94,2.24,ZA,1739908930
84,Nouadhibou,20.931,-17.0347,19.99,73,0,7.72,MR,1739909016
85,Margaret River,-33.95,115.0667,18.03,88,100,5.45,AU,1739909017
86,Champerico,14.3,-91.9167,29.2,64,10,5.54,GT,1739909019
87,Chonchi,-42.6128,-73.8092,20.53,45,100,2.3,CL,1739909020
88,Taulaga,-11.0553,-171.0883,28.59,69,100,11.52,AS,1739909021
89,Jamestown,42.097,-79.2353,-10.25,66,75,9.26,US,1739908926
90,Key West,24.5557,-81.7826,25.56,78,15,1.07,US,1739908800
91,Mossamedes,-15.1961,12.1522,26.19,80,100,3.09,AO,1739909024
92,Bikenibeu Village,1.3673,173.1241,27.98,78,75,4.12,KI,1739909025
93,Susuman,62.7833,148.1667,-28.85,100,98,1.33,RU,1739909027
94,Jutaí,-5.1833,-68.9,24.08,87,100,1.62,BR,1739909028
95,College,64.8569,-147.8028,-11.41,71,75,0.0,US,1739909029
96,Timaru,-44.4,171.25,17.82,87,100,1.79,NZ,1739909030
97,Terrace,54.5163,-128.6035,0.95,59,100,7.72,CA,1739909031
98,Iqaluit,63.7506,-68.5145,-11.15,72,75,8.23,CA,1739909032
99,Ké-Macina,13.9623,-5.3572,32.52,14,2,3.85,ML,1739909033
100,Bouca,6.5105,18.2733,31.01,16,99,0.78,CF,1739909035
101,Inverell,-29.7833,151.1167,16.76,92,1,0.45,AU,1739909036
102,Bogen,48.9112,12.6896,-3.04,72,0,2.34,DE,1739909038
103,Jiwani,25.05,61.7417,23.96,74,100,4.82,PK,1739908907
104,Dudinka,69.4058,86.1778,-10.17,93,100,8.12,RU,1739909040
105,Galesong,-5.3166,119.3661,25.62,84,100,2.83,ID,1739909041
106,Tangalle,6.024,80.7911,24.35,85,65,4.45,LK,1739909042
107,Ribeira Grande,38.5167,-28.7,17.65,88,40,9.77,PT,1739909043
108,Blackmans Bay,-43.0167,147.3167,7.07,88,35,0.45,AU,1739909045
109,Blackmans Bay,-43.0167,147.3167,7.07,88,35,0.45,AU,1739909045
110,Barra de Santo Antônio,-9.4047,-35.5072,27.2,71,2,4.55,BR,1739908932
111,Severobaykal'sk,55.65,109.3167,-23.72,87,14,2.74,RU,1739909048
112,Tralee,52.2704,-9.7026,9.08,86,100,7.79,IE,1739909049
113,Jiaozuo,35.2397,113.2331,3.27,31,100,2.16,CN,1739909050
114,Achit,56.7985,57.8994,-20.1,98,68,2.46,RU,1739909051
115,Kingston,17.997,-76.7936,29.53,65,40,7.2,JM,1739908944
116,Edinburgh of the Seven Seas,-37.0676,-12.3116,19.31,91,89,10.17,SH,1739908866
117,Florø,61.5996,5.0328,-0.02,74,0,2.06,NO,1739909055
118,Naryan-Mar,67.6713,53.087,-16.38,94,100,4.08,RU,1739908893
119,Rāmpur,28.8167,79.0333,14.27,27,0,2.84,IN,1739909057
120,Selfoss,63.9331,-20.9971,6.69,89,100,8.92,IS,1739909058
121,Tôlanaro,-25.0319,46.9987,26.04,94,75,4.12,MG,1739909059
122,Avarua,-21.2078,-159.775,26.03,61,75,5.66,CK,1739909061
123,Zyryanskoye,56.8306,86.6258,-19.0,100,86,1.51,RU,1739909062
124,Zyryanskoye,56.8306,86.6258,-19.0,100,86,1.51,RU,1739909062
125,Udachny,66.4167,112.4,-33.56,100,40,1.69,RU,1739909064
126,Sayaxché,16.5167,-90.1667,32.11,45,1,1.33,GT,1739909065
127,Fort Frances,48.5999,-93.4003,-15.53,52,0,4.63,CA,1739909067
128,Huilong,31.8111,121.655,3.64,75,95,2.72,CN,1739909068
129,Hawaiian Paradise Park,19.5933,-154.9731,26.05,73,20,3.09,US,1739909069
130,Montevideo,-34.8335,-56.1674,20.84,53,75,4.12,UY,1739908968
131,Whitehorse,60.7161,-135.0538,-6.1,78,75,9.26,CA,1739908871
132,Badger,64.8,-147.5333,-10.0,84,75,0.0,US,1739909073
133,El Calafate,-50.3408,-72.2768,15.36,65,100,4.38,AR,1739908935
134,Punta Arenas,-53.15,-70.9167,17.06,42,75,10.29,CL,1739908820
135,Muli,2.9167,73.5667,27.32,79,79,5.63,MV,1739909077
136,Puerto La Cruz,10.2167,-64.6167,26.26,72,0,7.66,VE,1739909064
137,Tofol,5.3248,163.0078,27.97,75,12,6.24,FM,1739909079
138,Ulsteinvik,62.3432,5.8487,0.97,70,12,0.89,NO,1739909080
139,Oulad Teïma,30.3947,-9.209,14.6,87,37,2.52,MA,1739909081
140,São Francisco do Conde,-12.6275,-38.68,27.83,59,0,4.57,BR,1739909082
141,Riverside,33.7333,-116.0508,22.71,17,25,3.08,US,1739908790
142,Mammoth Lakes,37.6485,-118.9721,1.25,56,76,0.98,US,1739909085
143,Cooma,-36.2333,149.1333,8.47,94,1,0.22,AU,1739908908
144,Pisco,-13.7,-76.2167,25.03,73,0,10.29,PE,1739909087
145,Zwedru,6.0667,-8.1281,24.79,89,91,1.82,LR,1739909088
146,La Paz,-16.5,-68.15,11.99,76,75,3.6,BO,1739908583
147,Nova Sintra,14.8667,-24.7167,21.18,77,88,13.22,CV,1739909090
148,Thunder Bay,48.4001,-89.3168,-15.01,39,100,6.69,CA,1739908878
149,Suntar,62.1444,117.6319,-30.25,98,54,2.02,RU,1739909093
150,Mugia,43.1041,-9.2179,15.51,89,100,10.4,ES,1739909094
151,Zag,46.9441,99.165,-27.17,88,6,1.41,MN,1739909095
152,Lompoc,34.6391,-120.4579,20.4,37,0,7.2,US,1739909096
153,Puerto Ayora,-0.7393,-90.3518,28.08,89,63,3.58,EC,1739909097
154,Bredasdorp,-34.5322,20.0403,19.98,61,58,7.21,ZA,1739909098
155,Aasiaat,68.7098,-52.8699,-13.2,88,51,3.27,GL,1739909100
156,Abéché,13.8292,20.8324,27.45,11,98,4.97,TD,1739909101
157,Bandon,51.7469,-8.7425,8.77,91,100,10.18,IE,1739909102
158,Illizi,26.4833,8.4667,18.19,39,0,2.12,DZ,1739909103
159,Chebarkul',54.9749,60.3633,-18.58,97,5,1.79,RU,1739909041
160,Lázaro Cárdenas,17.9583,-102.2,28.18,60,99,4.51,MX,1739909105
161,La Ronge,55.1001,-105.2842,-20.86,45,0,3.09,CA,1739909106
162,Kani Keli,-12.9536,45.1033,26.59,76,42,4.02,YT,1739909108
163,Medicine Hat,50.0501,-110.6683,-21.55,64,20,0.45,CA,1739909109
164,Itoman,26.1247,127.6694,14.01,58,75,4.63,JP,1739909110
165,Banyo,6.75,11.8167,24.48,20,7,1.9,CM,1739909112
166,Lerwick,60.1545,-1.1494,4.63,76,100,12.38,GB,1739909113
167,Onguday,50.75,86.15,-18.78,99,43,1.62,RU,1739909114
168,Hammerfest,70.6634,23.6821,-1.75,64,75,4.12,NO,1739909115
169,Makokou,0.5738,12.8642,21.85,91,77,1.07,GA,1739909116
170,Katsuyama,36.0617,136.501,-3.0,94,99,3.31,JP,1739909118
171,Malango,-2.9627,119.9001,19.17,95,100,0.7,ID,1739909119
172,Portland,45.5234,-122.6762,10.9,87,100,2.24,US,1739908558
173,Harstad,68.799,16.5293,-0.47,90,92,3.13,NO,1739909121
174,Weno,7.4515,151.8468,27.85,70,74,7.23,FM,1739908881
175,Brisas de Zicatela,15.8369,-97.0419,28.99,61,84,2.95,MX,1739909123
176,Marion,39.7684,-86.1555,-7.06,59,0,2.06,US,1739908853
177,Portage la Prairie,49.9728,-98.2926,-21.17,59,75,6.17,CA,1739909064
178,Portage la Prairie,49.9728,-98.2926,-21.17,59,75,6.17,CA,1739909064
179,Viedma,-40.8135,-62.9967,30.55,21,95,6.34,AR,1739909012
180,São João da Barra,-21.6403,-41.0511,30.05,80,1,8.67,BR,1739909129
181,Pul-e Khumrī,35.9446,68.7151,5.28,91,55,1.74,AF,1739909130
182,Margate,51.3813,1.3862,3.72,68,100,1.79,GB,1739909102
183,Gárdony,47.2094,18.6361,-2.6,41,1,2.26,HU,1739909133
184,Vorgashor,67.5833,63.95,-18.64,95,100,8.01,RU,1739909134
185,Vorgashor,67.5833,63.95,-18.64,95,100,8.01,RU,1739909134
186,Mangai,-4.05,19.5333,21.81,91,66,0.51,CD,1739909136
187,Olyokminsk,60.3736,120.4264,-30.1,100,96,1.51,RU,1739909137
188,Port Hedland,-20.3167,118.5667,27.03,94,53,3.09,AU,1739909139
189,Matthew Town,20.95,-73.6667,26.47,68,70,5.98,BS,1739909140
190,Kapit,2.0167,112.9333,21.87,99,100,0.36,MY,1739909141
191,Mokhsogollokh,61.4681,128.9203,-30.4,100,100,1.26,RU,1739909142
192,Paphos,34.7667,32.4167,11.88,100,20,3.6,CY,1739909143
193,Preobrazheniye,42.9019,133.9064,-10.37,64,5,3.62,RU,1739909145
194,Novaya Igirma,57.1334,103.9112,-29.06,100,100,0.35,RU,1739909146
195,Rajin,42.2489,130.3003,-9.47,56,59,4.87,KP,1739909001
196,Hell-Ville,-13.4,48.2667,27.61,79,100,2.45,MG,1739909148
